Year,Host,Date,Round,Attendance,Venue,home_team,home_score,home_penalty,away_team,away_score,away_penalty,home_goal_min,home_own_goal_min,home_penalty_goal_min,away_goal_min,away_own_goal_min,away_penalty_goal_min,match_win,penalty_win,firstGoal,home_rank,away_rank
2022,Qatar,2022.12.18,Final,88966,"Lusail Iconic Stadium, Lusail",Argentina,3,4,France,3,2,"[36, 108]",[],[23],[81],[],"[80, 118]",draw,home,home,3,4
2022,Qatar,2022.12.17,Third-place match,44137,"Khalifa International Stadium, Doha",Croatia,2,,Morocco,1,,"[7, 42]",[],[],[9],[],[],home,,home,12,22
2022,Qatar,2022.12.14,Semi-finals,68294,"Al Bayt Stadium, Al Khor",France,2,,Morocco,0,,"[5, 79]",[],[],[],[],[],home,,home,4,22
2022,Qatar,2022.12.13,Semi-finals,88966,"Lusail Iconic Stadium, Lusail",Argentina,3,,Croatia,0,,"[39, 69]",[],[34],[],[],[],home,,home,3,12
2022,Qatar,2022.12.10,Quarter-finals,44198,"Al Thumama Stadium, ath-Thum_ma",Morocco,1,,Portugal,0,,[42],[],[],[],[],[],home,,home,22,9
2022,Qatar,2022.12.10,Quarter-finals,68895,"Al Bayt Stadium, Al Khor",England,1,,France,2,,[],[],[54],"[17, 78]",[],[],away,,away,5,4
2022,Qatar,2022.12.9,Quarter-finals,43893,"Education City Stadium, Doha",Croatia,1,4,Brazil,1,2,[117],[],[],[106],[],[],draw,home,away,12,1
2022,Qatar,2022.12.9,Quarter-finals,88235,"Lusail Iconic Stadium, Lusail",Netherlands,2,3,Argentina,2,4,"[83, 101]",[],[],[35],[],[73],draw,away,away,8,3
2022,Qatar,2022.12.6,Round of 16,44667,"Education City Stadium, Doha",Morocco,0,3,Spain,0,0,[],[],[],[],[],[],draw,home,,22,7
2022,Qatar,2022.12.6,Round of 16,83720,"Lusail Iconic Stadium, Lusail",Portugal,6,,Switzerland,1,,"[17, 33, 51, 55, 67, 92]",[],[],[58],[],[],home,,home,9,15
2022,Qatar,2022.12.5,Round of 16,42523,"Al Janoub Stadium, Al Wakrah",Japan,1,1,Croatia,1,3,[43],[],[],[55],[],[],draw,away,home,24,12
2022,Qatar,2022.12.5,Round of 16,43847,"Stadium 974, Doha",Brazil,4,,Korea Republic,1,,"[7, 29, 36]",[],[11],[76],[],[],home,,home,1,28
2022,Qatar,2022.12.4,Round of 16,40989,"Al Thumama Stadium, ath-Thum_ma",France,3,,Poland,1,,"[44, 74, 91]",[],[],[],[],[99],home,,home,4,26
2022,Qatar,2022.12.4,Round of 16,65985,"Al Bayt Stadium, Al Khor",England,3,,Senegal,0,,"[39, 48, 57]",[],[],[],[],[],home,,home,5,18
2022,Qatar,2022.12.3,Round of 16,44846,"Khalifa International Stadium, Doha",Netherlands,3,,United States,1,,"[10, 46, 81]",[],[],[76],[],[],home,,home,8,16
2022,Qatar,2022.12.3,Round of 16,45032,"Ahmed bin Ali Stadium, Umm al-Af_'ī",Argentina,2,,Australia,1,,"[35, 57]",[],[],[],[77],[],home,,home,3,38
2022,Qatar,2022.12.2,Group stage,44097,"Education City Stadium, Doha",Korea Republic,2,,Portugal,1,,"[27, 91]",[],[],[5],[],[],home,,away,28,9
